from,to,length,oneway,name
219808,2327840,25.051385322981,False,
219808,389449562,31.209150916202923,True,Лиговский проспект
219811,1832085962,27.905146686195813,False,
219811,1465050831,394.6540016421132,True,Лиговский проспект
219812,249890545,33.758152523102325,True,Воздухоплавательная улица
219812,219811,294.0033618749932,True,Лиговский проспект
219816,22297294,173.56997779159548,True,Прилукская улица
219816,1713626002,253.16032992144181,True,Лиговский проспект
219818,22297224,166.20296165325692,True,Курская улица
219818,307268,24.324612743998607,False,Курская улица
219818,219816,262.11004734605154,True,Лиговский проспект
219819,219818,337.079294246105,True,Лиговский проспект
219819,2257999936,12.425679602708424,True,набережная Обводного канала
219821,21729304,135.59444522520786,True,Лиговский переулок
219821,1889051078,213.01619633394597,True,Лиговский проспект
223631,763448262,17.323692019202525,True,набережная Макарова
223633,3639158302,5.504999028072743,True,Биржевая линия
223633,13296209260,99.54459137029518,True,набережная Макарова
223634,9705815312,4.5385595556409255,False,Тифлисская улица
223634,254980984,320.76176271759925,True,набережная Макарова
223647,3660091441,462.74492917445974,True,Университетская набережная
223648,254980947,328.94025434958843,True,Университетская набережная
223677,1715529579,259.335740832198,True,набережная Обводного канала
223677,22299212,342.96827816714205,False,Тамбовская улица
223680,332542,980.5860324703233,True,Нефтяная дорога
223680,9793729350,688.8328617691435,True,набережная Обводного канала
223683,4748897312,942.793142539134,True,"['Французский мост', 'набережная Обводного канала']"
223683,4877878816,109.04792223424238,True,"['Кременчугская улица', 'Атаманский мост']"
223691,1573794585,119.22196786803124,False,Харьковская улица
223691,12180420593,155.6848188159078,False,Харьковская улица
223691,1834415232,178.99162733177624,False,Тележная улица
223697,25894358,67.53309890516125,True,Владимирская площадь
223697,9951111124,20.33361547178572,True,Колокольная улица
223707,2144310379,90.5146836920973,False,Мошков переулок
223707,2507563556,251.17602166472466,True,"['2-й Зимний мост', 'набережная реки Мойки']"
223707,21725507,36.43806597839878,False,"['Мошков переулок', 'Конюшенный переулок', 'Большой Конюшенный мост']"
226862,226863,105.35873385570866,True,набережная реки Мойки
226862,332666,88.82266028840345,True,Аптекарский переулок
226863,223707,205.41823135967715,True,набережная реки Мойки
230274,441111019,22.98871315010375,True,Красногвардейская площадь
230274,307434,66.70129596477034,True,Среднеохтинский проспект
230275,12109968399,79.04645630066771,True,Тульская улица
230320,849634696,133.344161371615,True,Литейный проспект
230320,9708925362,11.455795987592186,False,улица Чайковского
230320,412128186,162.19552068308369,False,улица Чайковского
230327,2878859363,265.6104633642225,True,Прибалтийская площадь
230327,13041040984,395.20148183301524,False,Морская набережная
230327,12607209831,215.1100185808103,True,Морская набережная
230334,12607209831,299.1651955540457,True,Прибалтийская площадь
230334,230335,103.54471740706427,False,Прибалтийская площадь
230335,3283938207,19.30721797538168,False,Прибалтийская площадь
230335,230336,113.33415000405344,True,улица Кораблестроителей
230335,230334,103.54471740706427,False,Прибалтийская площадь
230336,3283938202,22.11463256597342,True,улица Нахимова
230336,306895,100.81145455205821,True,улица Кораблестроителей
237691,307412,48.40408129077718,False,площадь Белинского
237691,22311226,74.0302679504695,False,мост Белинского
237693,21743392,311.41212369073617,False,Опочинина улица
237695,3382178337,10.67637644974423,False,18-19-я линии В.О.
237695,21743196,416.79202207039685,True,18-19-я линии В.О.
237695,307090,182.0463606843682,True,набережная Лейтенанта Шмидта
237696,3382178339,10.954375491433183,False,16-17-я линии В.О.
237696,237695,173.7983674349035,True,набережная Лейтенанта Шмидта
237696,8084302,359.13012435912356,False,16-17-я линии В.О.
237697,3382178342,10.001009948477352,False,14-15-я линии В.О.
237697,237696,167.3652497027478,True,набережная Лейтенанта Шмидта
237697,364719227,107.81871079198282,False,14-15-я линии В.О.
237698,3382178345,9.760174002087041,False,12-13-я линии В.О.
237698,237697,164.94124345210054,True,набережная Лейтенанта Шмидта
237698,364719236,80.11257834604935,True,12-13-я линии В.О.
237699,3382178347,9.881460285687119,True,10-11-я линии В.О.
237699,237698,163.61064705905017,True,набережная Лейтенанта Шмидта
237701,3382178350,8.430852015780301,True,набережная Лейтенанта Шмидта
237701,4166955795,73.82271612095956,True,8-я линия В.О.
237711,10591929,16.48838338443822,True,площадь Конституции
237711,1660004821,566.6306586628233,True,Ленинский проспект
237712,237711,207.90233465682573,True,Ленинский проспект
237712,3539968338,141.2020179008221,True,площадь Конституции
237733,10695603212,1956.1063211929577,True,Петербургское шоссе
237733,549260634,344.8168455793813,True,Пулковское шоссе
237754,1411363540,572.9188809320544,True,
237754,1287888357,292.3000882346902,True,Киевское шоссе
237764,61099349,15.391832328932761,True,проспект Народного Ополчения
237764,313474231,82.3300768977667,True,Ленинский проспект
237765,840762419,12.376568475965126,False,Троллейбусный проезд
237765,4571464635,253.89682786371333,False,Троллейбусный проезд
237765,840762406,135.37446351827595,True,Ленинский проспект
237768,1685472518,36.15140032218234,True,Кронштадтская площадь
237783,2217364697,264.7333997930853,True,бульвар Новаторов
237783,931484196,95.3288296207988,False,Трамвайный проспект
237783,313473418,666.9777583662358,False,Трамвайный проспект
237784,21994301,21.00070775496979,True,бульвар Новаторов
237784,3536881974,626.8182675976601,True,улица Подводника Кузьмина
237800,258676233,15.420790717630489,True,улица Доблести
237800,4727150182,552.1944717988276,True,улица Маршала Захарова
237801,1258407715,12.349018837244376,True,улица Доблести
237801,4727150178,556.2551665708717,True,Ленинский проспект
237803,258771362,19.27242456619203,False,Брестский бульвар
237803,21993893,161.64999782021948,True,улица Маршала Захарова
237803,21628646,309.9756486999363,False,Брестский бульвар
244266,26057460,110.65694371180491,True,улица Типанова
244266,18700849,58.83282997049653,True,улица Типанова
244267,247955179,13.349226716065301,True,проспект Славы
244267,2069275468,24.338813727440666,True,проспект Славы
244271,26057703,526.3323388740309,True,проспект Славы
244271,26057703,539.0618233014637,True,
244274,26057718,19.286207413939458,True,Гамбургская площадь
